[aten::select] 总耗时: 388354.43 ms | 出现次数: 190190 | 平均耗时: 2.04 ms
[aten::as_strided] 总耗时: 319649.97 ms | 出现次数: 699515 | 平均耗时: 0.46 ms
[aten::slice] 总耗时: 308318.55 ms | 出现次数: 217846 | 平均耗时: 1.42 ms
[aten::index] 总耗时: 73018.23 ms | 出现次数: 1095 | 平均耗时: 66.68 ms
[aten::fill_] 总耗时: 63405.31 ms | 出现次数: 5287 | 平均耗时: 11.99 ms
[aten::reshape] 总耗时: 44106.47 ms | 出现次数: 3097 | 平均耗时: 14.24 ms
[aten::sub] 总耗时: 43946.20 ms | 出现次数: 2002 | 平均耗时: 21.95 ms
[aten::scatter] 总耗时: 34979.70 ms | 出现次数: 1001 | 平均耗时: 34.94 ms
[aten::clone] 总耗时: 31075.16 ms | 出现次数: 1000 | 平均耗时: 31.08 ms
[aten::argmax] 总耗时: 28085.67 ms | 出现次数: 1001 | 平均耗时: 28.06 ms
[aten::softmax] 总耗时: 27396.91 ms | 出现次数: 2002 | 平均耗时: 13.68 ms
[aten::div_] 总耗时: 26454.74 ms | 出现次数: 2002 | 平均耗时: 13.21 ms
[aten::rsub] 总耗时: 24486.60 ms | 出现次数: 1001 | 平均耗时: 24.46 ms
[aten::_softmax] 总耗时: 21980.25 ms | 出现次数: 2002 | 平均耗时: 10.98 ms
[aten::exponential_] 总耗时: 17696.70 ms | 出现次数: 1001 | 平均耗时: 17.68 ms
[aten::le] 总耗时: 16297.58 ms | 出现次数: 1001 | 平均耗时: 16.28 ms
[aten::masked_fill_] 总耗时: 12989.08 ms | 出现次数: 1001 | 平均耗时: 12.98 ms
[aten::cumsum] 总耗时: 12318.81 ms | 出现次数: 1001 | 平均耗时: 12.31 ms
[aten::movedim] 总耗时: 11079.96 ms | 出现次数: 2002 | 平均耗时: 5.53 ms
[aten::unsqueeze] 总耗时: 8198.50 ms | 出现次数: 3003 | 平均耗时: 2.73 ms
[aten::max] 总耗时: 8013.21 ms | 出现次数: 1001 | 平均耗时: 8.01 ms
[aten::view] 总耗时: 7053.02 ms | 出现次数: 4569 | 平均耗时: 1.54 ms
[aten::flatten] 总耗时: 5975.74 ms | 出现次数: 1001 | 平均耗时: 5.97 ms
[aten::t] 总耗时: 5507.26 ms | 出现次数: 1001 | 平均耗时: 5.50 ms
[aten::item] 总耗时: 5444.04 ms | 出现次数: 3003 | 平均耗时: 1.81 ms
[aten::div] 总耗时: 4622.20 ms | 出现次数: 94 | 平均耗时: 49.17 ms
